wavelength,real_1,real_2,real_3,real_4,real_5,real_6,real_7,real_8,real_9,real_10
326.744,1.38,1.42,0.82,0.8,0.48,1.17,1.2,0.33,0.59,0.32
327.115,1.38,1.39,0.85,0.74,0.54,1.18,1.21,0.32,0.66,0.32
327.485,1.32,1.37,0.78,0.7,0.49,1.06,1.08,0.21,0.6,0.26
327.855,1.36,1.39,0.8,0.77,0.58,1.14,1.2,0.29,0.65,0.32
328.226,1.35,1.39,0.77,0.74,0.52,1.08,1.15,0.28,0.63,0.28
328.596,1.37,1.45,0.68,0.8,0.55,1.02,1.2,0.18,0.66,0.34
328.966,1.41,1.47,0.67,0.89,0.6,1.1,1.19,0.21,0.58,0.3
329.336,1.41,1.4,0.58,0.85,0.51,1.03,1.18,0.14,0.55,0.3
329.706,1.45,1.38,0.55,0.91,0.42,1.06,1.23,0.17,0.56,0.32
330.076,1.4,1.33,0.44,0.9,0.35,0.99,1.17,0.11,0.46,0.33
330.447,1.4,1.3,0.43,0.91,0.26,0.94,1.22,0.08,0.52,0.31
330.816,1.38,1.28,0.45,0.89,0.19,1.04,1.21,0.04,0.51,0.36
331.186,1.42,1.31,0.49,0.9,0.16,1.04,1.19,0.01,0.53,0.41
331.556,1.44,1.29,0.52,0.87,0.17,1.09,1.23,0.05,0.53,0.46
331.926,1.49,1.33,0.54,0.84,0.16,1.08,1.17,0.07,0.57,0.5
332.296,1.48,1.36,0.57,0.92,0.21,1.18,1.19,0.09,0.57,0.58
332.666,1.5,1.36,0.63,0.93,0.16,1.24,1.16,0.2,0.57,0.57
333.036,1.41,1.28,0.62,0.77,0.06,1.14,1.07,0.1,0.53,0.47
333.405,1.46,1.34,0.68,0.84,0.11,1.16,1.13,0.2,0.56,0.54
333.775,1.43,1.36,0.66,0.7,0.12,1.09,1.09,0.16,0.51,0.52
334.144,1.45,1.36,0.7,0.72,0.21,1.11,1.1,0.25,0.55,0.53
334.514,1.44,1.29,0.69,0.64,0.19,1.12,1,0.22,0.5,0.44
334.884,1.4,1.22,0.65,0.59,0.17,1.02,0.98,0.26,0.47,0.34
335.253,1.33,1.17,0.58,0.56,0.04,0.92,0.94,0.28,0.41,0.32
335.623,1.3,1.13,0.55,0.62,0.03,0.84,0.99,0.25,0.38,0.27
335.992,1.25,1.11,0.56,0.63,0.07,0.91,1.02,0.21,0.36,0.26
336.361,1.28,1.13,0.6,0.68,0.08,0.86,1.01,0.23,0.39,0.32
336.731,1.19,1.04,0.53,0.59,0.08,0.78,1.01,0.19,0.32,0.28
