wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
392.387,6.64,6.95,6.5,7.24,5.78,7.22,3.84,8.53,6.68,5.39
392.75,6.64,6.92,6.41,7.18,5.76,7.15,3.86,8.52,6.71,5.35
393.113,6.71,7.02,6.47,7.24,5.87,7.22,3.95,8.57,6.78,5.44
393.476,6.71,6.99,6.44,7.27,5.87,7.25,3.97,8.61,6.84,5.45
393.838,6.66,6.99,6.42,7.26,5.83,7.18,3.93,8.58,6.81,5.46
394.201,6.63,7.02,6.39,7.25,5.84,7.17,3.94,8.59,6.79,5.43
394.564,6.57,6.99,6.33,7.22,5.85,7.17,3.88,8.55,6.74,5.41
394.927,6.48,6.94,6.28,7.21,5.84,7.13,3.84,8.59,6.7,5.42
395.289,6.44,6.94,6.28,7.2,5.85,7.12,3.84,8.67,6.73,5.47
395.652,6.44,6.88,6.35,7.2,5.83,7.16,3.87,8.71,6.7,5.46
396.015,6.42,6.87,6.35,7.2,5.85,7.15,3.82,8.71,6.65,5.45
396.377,6.46,6.9,6.38,7.24,5.88,7.2,3.87,8.69,6.66,5.43
396.74,6.47,6.94,6.4,7.25,5.86,7.23,3.84,8.69,6.63,5.41
397.102,6.44,6.88,6.37,7.21,5.8,7.18,3.84,8.68,6.65,5.35
397.465,6.45,6.87,6.35,7.17,5.79,7.16,3.87,8.68,6.65,5.37
397.827,6.46,6.82,6.34,7.2,5.83,7.17,3.86,8.66,6.64,5.36
398.189,6.46,6.78,6.32,7.22,5.83,7.11,3.88,8.63,6.63,5.37
398.552,6.51,6.78,6.35,7.28,5.81,7.13,3.89,8.66,6.61,5.4
398.914,6.57,6.8,6.39,7.3,5.83,7.14,3.89,8.65,6.65,5.38
399.276,6.61,6.82,6.37,7.3,5.81,7.12,3.9,8.57,6.65,5.31
399.638,6.64,6.86,6.34,7.31,5.82,7.09,3.89,8.56,6.7,5.28
400,6.7,6.87,6.35,7.28,5.79,7.07,3.97,8.53,6.78,5.3
