wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
653.898,29.94,25.72,21.09,21.19,22.09,18.21,6.59,11.11,11.67,8.83
654.228,29.93,25.73,21.08,21.07,22.2,18.28,6.42,11.11,11.49,8.9
654.558,29.96,25.71,21.23,21.11,22.39,18.34,6.47,11.17,11.54,8.86
654.888,29.84,25.62,21.42,20.95,22.45,18.35,6.47,11.29,11.8,8.78
655.219,29.69,25.73,21.46,21.13,22.46,18.64,6.38,11.41,11.84,8.92
655.549,29.47,26,21.5,21.3,22.68,18.91,6.65,11.74,12.27,9.2
655.879,29.31,26.26,21.64,21.51,22.61,19.18,6.93,12.04,12.84,9.61
656.209,29.29,26.24,21.73,21.63,22.63,19.34,7.2,12.27,13.06,9.74
656.539,29.32,26.33,21.82,21.78,22.7,19.46,7.37,12.47,13.44,9.96
656.868,29.35,26.36,21.92,21.87,22.69,19.59,7.52,12.55,13.58,10.05
657.198,29.41,26.37,21.96,22,22.74,19.61,7.66,12.7,13.71,10.17
657.528,29.46,26.48,22.08,22.08,22.83,19.64,7.79,12.79,13.78,10.22
657.858,29.49,26.48,22.17,22.16,22.82,19.68,7.87,12.84,13.83,10.27
658.188,29.53,26.49,22.24,22.19,22.87,19.68,7.94,12.9,13.86,10.31
658.517,29.64,26.47,22.31,22.23,22.92,19.69,7.98,12.93,13.88,10.39
658.847,29.74,26.47,22.42,22.3,22.99,19.71,8.07,12.98,13.95,10.45
659.176,29.86,26.46,22.52,22.37,23.01,19.72,8.12,13.02,13.99,10.49
659.506,29.97,26.44,22.64,22.42,23.06,19.75,8.16,13.09,14.01,10.51
659.835,30.13,26.45,22.79,22.51,23.11,19.76,8.2,13.15,14.08,10.57
660.165,30.31,26.43,22.95,22.59,23.18,19.79,8.27,13.2,14.09,10.63
660.494,30.47,26.41,23.13,22.67,23.24,19.8,8.31,13.28,14.13,10.66
660.824,30.65,26.42,23.3,22.74,23.3,19.84,8.35,13.32,14.16,10.67
661.153,30.82,26.38,23.44,22.83,23.38,19.87,8.39,13.35,14.2,10.71
661.482,30.99,26.38,23.56,22.9,23.47,19.88,8.42,13.39,14.23,10.71
661.811,31.18,26.36,23.74,22.97,23.52,19.91,8.46,13.44,14.26,10.74
662.14,31.34,26.37,23.89,23.05,23.56,19.97,8.5,13.48,14.29,10.72
662.47,31.51,26.34,24.04,23.11,23.59,20,8.52,13.5,14.29,10.71
662.799,31.67,26.29,24.22,23.17,23.68,20.05,8.56,13.53,14.31,10.71
663.128,31.85,26.26,24.34,23.23,23.77,20.06,8.58,13.51,14.34,10.75
663.457,31.94,26.27,24.45,23.26,23.83,20.12,8.64,13.49,14.37,10.73
663.786,31.94,26.27,24.43,23.23,23.8,20.08,8.63,13.45,14.38,10.64
664.114,31.91,26.29,24.36,23.17,23.85,20.11,8.6,13.35,14.35,10.59
664.443,31.8,26.23,24.3,23.14,23.9,20.06,8.58,13.29,14.31,10.6
664.772,31.65,26.21,24.24,23.03,23.78,19.99,8.54,13.2,14.24,10.52
665.101,31.55,26.13,24.18,22.92,23.75,19.95,8.47,13.12,14.23,10.52
665.43,31.44,26.13,23.91,22.88,23.66,19.88,8.37,12.9,14.18,10.42
665.758,31.25,25.99,23.76,22.86,23.63,19.69,8.28,12.79,14.12,10.37
666.087,31.02,26,23.55,22.76,23.53,19.53,8.11,12.68,14.09,10.22
666.415,30.87,26.06,23.19,22.59,23.24,19.36,7.8,12.48,14.06,10.03
666.744,30.67,25.83,22.88,22.44,23,19.15,7.57,12.17,13.93,9.57
