treatment,experiment.day,field.site,species,attacks,field.day
two,2,26,battus,0,6
two,2,27,battus,0,6
two,2,28,battus,0,6
two,2,29,battus,0,6
two,2,30,battus,0,6
two,2,31,battus,0,6
two,2,32,battus,0,6
two,2,33,battus,0,6
two,2,34,battus,0,6
two,2,35,battus,0,6
two,2,36,battus,0,6
two,2,37,battus,0,6
two,2,38,battus,0,6
two,2,39,battus,0,6
two,2,40,battus,0,6
two,2,21,junonia,0,6
two,2,22,junonia,0,6
two,2,23,junonia,0,6
two,2,24,junonia,0,6
two,2,25,junonia,0,6
two,2,26,junonia,0,6
two,2,27,junonia,0,6
two,2,28,junonia,0,6
two,2,29,junonia,0,6
two,2,30,junonia,1,6
two,2,31,junonia,0,6
two,2,32,junonia,0,6
two,2,33,junonia,0,6
two,2,34,junonia,0,6
two,2,35,junonia,0,6
two,2,36,junonia,0,6
two,2,37,junonia,0,6
two,2,38,junonia,0,6
two,2,39,junonia,0,6
two,2,40,junonia,0,6
two,3,21,battus,0,7
two,3,22,battus,0,7
two,3,23,battus,0,7
two,3,24,battus,0,7
two,3,25,battus,0,7
two,3,26,battus,0,7
two,3,27,battus,0,7
two,3,28,battus,0,7
two,3,29,battus,0,7
two,3,30,battus,0,7
two,3,31,battus,0,7
two,3,32,battus,0,7
two,3,33,battus,0,7
two,3,34,battus,0,7
two,3,35,battus,0,7
two,3,36,battus,0,7
two,3,37,battus,0,7
two,3,38,battus,0,7
two,3,39,battus,0,7
two,3,40,battus,0,7
two,3,21,junonia,0,7
two,3,22,junonia,0,7
two,3,23,junonia,0,7
two,3,24,junonia,0,7
two,3,25,junonia,0,7
two,3,26,junonia,0,7
two,3,27,junonia,0,7
two,3,28,junonia,0,7
two,3,29,junonia,0,7
two,3,30,junonia,0,7
two,3,31,junonia,0,7
two,3,32,junonia,0,7
two,3,33,junonia,0,7
two,3,34,junonia,0,7
two,3,35,junonia,0,7
two,3,36,junonia,0,7
two,3,37,junonia,0,7
two,3,38,junonia,0,7
two,3,39,junonia,0,7
two,3,40,junonia,0,7
two,4,21,battus,1,8
two,4,22,battus,0,8
two,4,23,battus,0,8
two,4,24,battus,0,8
two,4,25,battus,0,8
two,4,26,battus,0,8
two,4,27,battus,0,8
two,4,28,battus,1,8
two,4,29,battus,0,8
two,4,30,battus,0,8
two,4,31,battus,0,8
two,4,32,battus,0,8
two,4,33,battus,0,8
two,4,34,battus,0,8
two,4,35,battus,0,8
two,4,36,battus,0,8
two,4,37,battus,0,8
two,4,38,battus,0,8
two,4,39,battus,0,8
two,4,40,battus,0,8
two,4,21,junonia,2,8
two,4,22,junonia,0,8
two,4,23,junonia,0,8
two,4,24,junonia,1,8
two,4,25,junonia,0,8
two,4,26,junonia,0,8
two,4,27,junonia,0,8
two,4,28,junonia,0,8
two,4,29,junonia,0,8
two,4,30,junonia,1,8
two,4,31,junonia,0,8
two,4,32,junonia,0,8
two,4,33,junonia,0,8
two,4,34,junonia,0,8
two,4,35,junonia,0,8
two,4,36,junonia,0,8
two,4,37,junonia,0,8
two,4,38,junonia,0,8
two,4,39,junonia,0,8
two,4,40,junonia,0,8
one,1,41,battus,0,9
one,1,42,battus,0,9
one,1,43,battus,2,9
one,1,44,battus,0,9
one,1,45,battus,0,9
one,1,46,battus,0,9
one,1,47,battus,0,9
one,1,48,battus,0,9
one,1,49,battus,0,9
one,1,50,battus,0,9
one,1,51,battus,1,9
one,1,52,battus,1,9
one,1,53,battus,0,9
one,1,54,battus,0,9
one,1,55,battus,0,9
one,1,56,battus,0,9
one,1,57,battus,0,9
one,1,58,battus,2,9
one,1,59,battus,0,9
one,1,60,battus,0,9
one,1,41,junonia,0,9
one,1,42,junonia,0,9
one,1,43,junonia,0,9
one,1,44,junonia,0,9
one,1,45,junonia,0,9
one,1,46,junonia,0,9
one,1,47,junonia,2,9
one,1,48,junonia,0,9
one,1,49,junonia,1,9
one,1,50,junonia,0,9
one,1,51,junonia,0,9
one,1,52,junonia,0,9
one,1,53,junonia,0,9
one,1,54,junonia,0,9
one,1,55,junonia,0,9
one,1,56,junonia,0,9
one,1,57,junonia,0,9
one,1,58,junonia,0,9
one,1,59,junonia,0,9
one,1,60,junonia,0,9
one,2,41,battus,0,10
one,2,42,battus,0,10
one,2,43,battus,0,10
one,2,44,battus,0,10
one,2,45,battus,0,10
one,2,46,battus,0,10
one,2,47,battus,0,10
one,2,48,battus,0,10
one,2,49,battus,0,10
one,2,50,battus,0,10
one,2,51,battus,0,10
one,2,52,battus,0,10
one,2,53,battus,0,10
one,2,54,battus,0,10
one,2,55,battus,0,10
one,2,56,battus,0,10
one,2,57,battus,0,10
one,2,58,battus,0,10
one,2,59,battus,0,10
one,2,60,battus,0,10
one,2,41,junonia,0,10
one,2,42,junonia,0,10
one,2,43,junonia,1,10
one,2,44,junonia,0,10
one,2,45,junonia,0,10
one,2,46,junonia,0,10
one,2,47,junonia,1,10
one,2,48,junonia,0,10
one,2,49,junonia,0,10
one,2,50,junonia,0,10
one,2,51,junonia,1,10
one,2,52,junonia,0,10
one,2,53,junonia,0,10
one,2,54,junonia,0,10
one,2,55,junonia,0,10
one,2,56,junonia,0,10
one,2,57,junonia,0,10
one,2,58,junonia,0,10
one,2,59,junonia,0,10
one,2,60,junonia,0,10
one,3,41,battus,0,11
one,3,42,battus,1,11
one,3,43,battus,0,11
one,3,44,battus,0,11
one,3,45,battus,0,11
one,3,46,battus,0,11
one,3,47,battus,0,11
one,3,48,battus,0,11
one,3,49,battus,0,11
one,3,50,battus,0,11
one,3,51,battus,0,11
one,3,52,battus,0,11
one,3,53,battus,0,11
one,3,54,battus,0,11
one,3,55,battus,0,11
one,3,56,battus,0,11
one,3,57,battus,0,11
one,3,58,battus,0,11
one,3,59,battus,0,11
one,3,60,battus,0,11
one,3,41,junonia,0,11
one,3,42,junonia,0,11
one,3,43,junonia,0,11
one,3,44,junonia,0,11
one,3,45,junonia,0,11
one,3,46,junonia,0,11
one,3,47,junonia,1,11
one,3,48,junonia,0,11
one,3,49,junonia,0,11
one,3,50,junonia,0,11
one,3,51,junonia,0,11
one,3,52,junonia,0,11
one,3,53,junonia,0,11
one,3,54,junonia,0,11
one,3,55,junonia,0,11
one,3,56,junonia,0,11
one,3,57,junonia,1,11
one,3,58,junonia,1,11
one,3,59,junonia,0,11
one,3,60,junonia,0,11
one,4,41,battus,0,12
one,4,42,battus,0,12
one,4,43,battus,0,12
one,4,44,battus,0,12
one,4,45,battus,0,12
one,4,46,battus,0,12
one,4,47,battus,0,12
one,4,48,battus,0,12
one,4,49,battus,0,12
one,4,50,battus,0,12
one,4,51,battus,0,12
one,4,52,battus,0,12
one,4,53,battus,0,12
one,4,54,battus,0,12
